instance,method,feasible,cost_ratio,disclosed_modes,rounds
0,public_profile_search,False,,24,1
0,random_20pct_disclosure,True,1.714063278954626,34,1
0,price_guided_oracle,True,1.0000000000000002,60,4
0,full_private_disclosure,True,1.0,77,1
1,public_profile_search,False,,24,1
1,random_20pct_disclosure,True,1.805823596388248,34,1
1,price_guided_oracle,True,1.0,59,4
1,full_private_disclosure,True,1.0,74,1
2,public_profile_search,False,,24,1
2,random_20pct_disclosure,True,1.7258765228344792,34,1
2,price_guided_oracle,True,1.0,52,3
2,full_private_disclosure,True,1.0,76,1
3,public_profile_search,False,,24,1
3,random_20pct_disclosure,True,1.7491462775241422,33,1
3,price_guided_oracle,True,1.0,53,4
3,full_private_disclosure,True,1.0,72,1
4,public_profile_search,False,,24,1
4,random_20pct_disclosure,True,1.6437844718731878,33,1
4,price_guided_oracle,True,1.0,48,3
4,full_private_disclosure,True,1.0,73,1
5,public_profile_search,False,,24,1
5,random_20pct_disclosure,True,2.057658797814829,35,1
5,price_guided_oracle,True,1.0,56,4
5,full_private_disclosure,True,1.0,80,1
6,public_profile_search,False,,24,1
6,random_20pct_disclosure,True,2.048843001709258,34,1
6,price_guided_oracle,True,1.0,55,4
6,full_private_disclosure,True,1.0,76,1
7,public_profile_search,False,,24,1
7,random_20pct_disclosure,True,1.7608746424988813,35,1
7,price_guided_oracle,True,1.0,55,4
7,full_private_disclosure,True,1.0,79,1
8,public_profile_search,False,,24,1
8,random_20pct_disclosure,True,1.574193868021722,34,1
8,price_guided_oracle,True,1.014488962438724,53,3
8,full_private_disclosure,True,1.0,76,1
9,public_profile_search,False,,24,1
9,random_20pct_disclosure,False,,33,1
9,price_guided_oracle,True,1.0,44,3
9,full_private_disclosure,True,1.0,72,1
10,public_profile_search,False,,24,1
10,random_20pct_disclosure,True,1.9587394525753383,36,1
10,price_guided_oracle,True,1.0,57,4
10,full_private_disclosure,True,1.0,85,1
11,public_profile_search,False,,24,1
11,random_20pct_disclosure,True,1.6832118147762387,32,1
11,price_guided_oracle,True,1.0,54,3
11,full_private_disclosure,True,1.0,66,1
12,public_profile_search,False,,24,1
12,random_20pct_disclosure,True,1.9249112950079112,33,1
12,price_guided_oracle,True,1.0,50,4
12,full_private_disclosure,True,1.0,72,1
13,public_profile_search,False,,24,1
13,random_20pct_disclosure,True,1.5504603348786212,35,1
13,price_guided_oracle,True,1.0,52,3
13,full_private_disclosure,True,1.0,80,1
14,public_profile_search,False,,24,1
14,random_20pct_disclosure,True,2.1604491110755357,33,1
14,price_guided_oracle,True,0.9999999999999999,52,4
14,full_private_disclosure,True,1.0,69,1
15,public_profile_search,False,,24,1
15,random_20pct_disclosure,True,1.664138661903993,33,1
15,price_guided_oracle,True,1.0,48,3
15,full_private_disclosure,True,1.0,69,1
16,public_profile_search,False,,24,1
16,random_20pct_disclosure,True,1.9022376670993884,33,1
16,price_guided_oracle,True,1.0,55,4
16,full_private_disclosure,True,1.0,72,1
17,public_profile_search,False,,24,1
17,random_20pct_disclosure,True,1.6247950523496202,35,1
17,price_guided_oracle,True,1.0,54,5
17,full_private_disclosure,True,1.0,82,1
18,public_profile_search,False,,24,1
18,random_20pct_disclosure,True,1.7459873355410107,35,1
18,price_guided_oracle,True,1.0,58,4
18,full_private_disclosure,True,1.0,79,1
19,public_profile_search,False,,24,1
19,random_20pct_disclosure,True,1.961183724504489,33,1
19,price_guided_oracle,True,1.0000000000000002,59,4
19,full_private_disclosure,True,1.0,71,1
